AÑO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,N_SIMPLE,N_EXTORSIVO,TOTAL,Población,Tasa_100k,Total Combatientes,Total de Víctimas del Caso,Asesinatos Selectivos,Victimas Masacre,AGENTE DEL ESTADO,AGENTE DEL ESTADO - GUERRILLA,CRIMEN ORGANIZADO,GRUPO ARMADO NO IDENTIFICADO,GRUPO PARAMILITAR,GRUPO POSDESMOVILIZACIÓN,GUERRILLA,AGENTE DEL ESTADO - GRUPO PARAMILITAR,Presencia,Intensidad,Categoría,Grupo de categoría,num_cai,avg_integrantes
1996,5,ANTIOQUIA,5001,MEDELLIN,8,73,81,1787831,4.530629572929432,12.0,13.0,1036.0,37.0,7.0,0.0,0.0,3.0,4.0,0.0,6.0,0.0,Conflicto permanente,alta intensidad,Fuertemente afectados y persistente,1,286.0,1531.5384615384614
1996,5,ANTIOQUIA,5002,ABEJORRAL,0,2,2,25094,7.970032677133976,5.0,5.0,4.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,2.0,72.0
1996,5,ANTIOQUIA,5030,AMAGA,0,2,2,25201,7.9361930082139605,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,2.0,77.0
1996,5,ANTIOQUIA,5031,AMALFI,1,1,2,20966,9.539254030334828,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,1.0,42.0
1996,5,ANTIOQUIA,5034,ANDES,0,2,2,41359,4.83570685945018,6.0,6.0,30.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,5.0,181.0
1996,5,ANTIOQUIA,5038,ANGOSTURA,0,1,1,12845,7.785130400934215,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,1.0,50.0
1996,5,ANTIOQUIA,5040,ANORI,1,0,1,14244,7.020499859590003,8.0,8.0,7.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,Conflicto permanente,alta intensidad,Fuertemente afectados y persistente,1,1.0,44.0
1996,5,ANTIOQUIA,5042,SANTAFE DE ANTIOQUIA,2,10,12,21787,55.07871666590168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,,
1996,5,ANTIOQUIA,5045,APARTADO,1,7,8,71480,11.191941801902631,9.0,14.0,383.0,41.0,10.0,0.0,0.0,2.0,8.0,0.0,14.0,0.0,Conflicto permanente,alta intensidad,Fuertemente afectados y persistente,1,9.0,107.0
1996,5,ANTIOQUIA,5086,BELMIRA,0,1,1,5855,17.079419299743808,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,2.0,71.0
1996,5,ANTIOQUIA,5088,BELLO,1,3,4,315434,1.268094117945434,0.0,13.0,147.0,8.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,21.0,1298.0
1996,5,ANTIOQUIA,5093,BETULIA,0,1,1,15796,6.330716637123322,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,5.0,531.0
1996,5,ANTIOQUIA,5101,CIUDAD BOLIVAR,0,3,3,28435,10.550378055213645,4.0,4.0,41.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,89.0,2360.0
1996,5,ANTIOQUIA,5120,CACERES,2,0,2,22373,8.939346533768383,7.0,7.0,12.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,2.0,59.0
1996,5,ANTIOQUIA,5129,CALDAS,0,3,3,55288,5.4261322529301115,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,4.0,628.0
1996,5,ANTIOQUIA,5138,CAÑASGORDAS,0,1,1,18736,5.33731853116994,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,,
1996,5,ANTIOQUIA,5147,CAREPA,0,1,1,25129,3.979465955668749,19.0,19.0,167.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,4.0,204.0
1996,5,ANTIOQUIA,5148,EL CARMEN DE VIBORAL,0,4,4,40787,9.80704636281168,6.0,7.0,48.0,8.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,,
1996,5,ANTIOQUIA,5154,CAUCASIA,0,2,2,57229,3.4947316919743487,6.0,6.0,18.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,7.0,198.0
1996,5,ANTIOQUIA,5172,CHIGORODO,1,0,1,34966,2.8599210661785732,11.0,11.0,246.0,29.0,10.0,0.0,0.0,0.0,4.0,0.0,10.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,3.0,50.0
1996,5,ANTIOQUIA,5197,COCORNA,3,12,15,21982,68.23764898553361,1.0,1.0,14.0,10.0,4.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,conflicto interrumpido,alta intensidad,Fuertemente afectados e interrumpido,3,1.0,10.0
1996,5,ANTIOQUIA,5234,DABEIBA,0,1,1,21864,4.573728503476033,9.0,12.0,66.0,5.0,10.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,conflicto interrumpido,alta intensidad,Fuertemente afectados e interrumpido,3,1.0,18.0
1996,5,ANTIOQUIA,5240,EBEJICO,0,1,1,14911,6.706458319361545,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto pacificado,baja intensidad,Levemente afectados y finalizado,6,2.0,102.0
1996,5,ANTIOQUIA,5250,EL BAGRE,0,2,2,30620,6.531678641410843,4.0,7.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,conflicto interrumpido,alta intensidad,Fuertemente afectados e interrumpido,3,3.0,35.0
1996,5,ANTIOQUIA,5264,ENTRERRIOS,0,1,1,7454,13.415615776764152,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin conflicto,baja intensidad,Sin conflicto,7,1.0,50.0
1996,5,ANTIOQUIA,5266,ENVIGADO,0,2,2,137458,1.4549898878202796,0.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,21.0,1715.0
1996,5,ANTIOQUIA,5282,FREDONIA,0,1,1,24554,4.072656186364747,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,2.0,125.0
1996,5,ANTIOQUIA,5284,FRONTINO,0,1,1,24595,4.065867046147591,3.0,3.0,75.0,9.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,2.0,31.0
1996,5,ANTIOQUIA,5308,GIRARDOTA,2,0,2,34153,5.85600093696015,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,5.0,792.0
1996,5,ANTIOQUIA,5315,GUADALUPE,0,1,1,6624,15.096618357487921,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,3.0,189.0
1996,5,ANTIOQUIA,5315,GUADALUPE,0,1,1,6624,15.096618357487921,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,3.0,189.0
1996,5,ANTIOQUIA,5318,GUARNE,0,2,2,35687,5.604281671196794,2.0,3.0,11.0,10.0,4.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,2.0,62.0
1996,5,ANTIOQUIA,5360,ITAGUI,0,2,2,184376,1.0847398793769254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,33.0,2123.0
1996,5,ANTIOQUIA,5361,ITUANGO,1,0,1,25517,3.9189559901242306,11.0,11.0,46.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,Conflicto permanente,alta intensidad,Fuertemente afectados y persistente,1,2.0,56.0
1996,5,ANTIOQUIA,5368,JERICO,0,1,1,15032,6.652474720596062,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,2.0,49.0
1996,5,ANTIOQUIA,5376,LA CEJA,1,0,1,41044,2.436409706656271,3.0,3.0,73.0,18.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,3.0,128.0
