DEPARTAMENTO,CIUDAD/MUNICIPIO,UNIDAD,TIPO UNIDAD,CODIGO_CUADRANTE,CUADRANTE,NUMERO_CELULAR_CUADRANTE
DEPARTAMENTO DE POLICIA AMAZONAS,LETICIA,ESTACION DE POLICIA LETICIA,CAI ALAMEDA,DEAMAMNVCCC01E01C06000001,001,3174655414
DEPARTAMENTO DE POLICIA AMAZONAS,LETICIA,ESTACION DE POLICIA LETICIA,CAI AFASINTE,DEAMAMNVCCC01E01C07000002,002,3174654562
DEPARTAMENTO DE POLICIA AMAZONAS,LETICIA,ESTACION DE POLICIA LETICIA,CAI FRONTERA,DEAMAMNVCCC01E01C08000003,003,3174655647
DEPARTAMENTO DE POLICIA AMAZONAS,LETICIA,ESTACION DE POLICIA LETICIA,CAI FRONTERA,DEAMAMNVCCC01E01C08000004,004,3184601285
DEPARTAMENTO DE POLICIA AMAZONAS,LETICIA,ESTACION DE POLICIA LETICIA,SUBESTACION DE POLICIA SAN JOSE,DEAMAMNVCCC01E01S01000001,001,3214263564
DEPARTAMENTO DE POLICIA AMAZONAS,LETICIA,ESTACION DE POLICIA LETICIA,SUBESTACION DE POLICIA SANTA SOFIA,DEAMAMNVCCC01E01S02000001,001,3214921022
DEPARTAMENTO DE POLICIA AMAZONAS,LETICIA,ESTACION DE POLICIA LETICIA,SUBESTACION DE POLICIA LA PEDRERA,DEAMAMNVCCC01E01S03000001,001,3102027219
DEPARTAMENTO DE POLICIA AMAZONAS,LETICIA,ESTACION DE POLICIA LETICIA,SUBESTACION DE POLICIA TARAPACA,DEAMAMNVCCC01E01S04000001,001,3214921029
DEPARTAMENTO DE POLICIA AMAZONAS,LETICIA,ESTACION DE POLICIA LETICIA,SUBESTACION DE POLICIA PUERTO ARICA,DEAMAMNVCCC01E01S05000001,001,3214921025
DEPARTAMENTO DE POLICIA AMAZONAS,PUERTO NARIÑO,ESTACION DE POLICIA PUERTO NARIÑO,ESTACION DE POLICIA PUERTO NARIÑO,DEAMAMNVCCC01E03000000001,001,3214921032
DEPARTAMENTO DE POLICIA AMAZONAS,PUERTO NARIÑO,ESTACION DE POLICIA PUERTO NARIÑO,SUBESTACION DE POLICIA SAN JUAN DE ATACUARI,DEAMAMNVCCC01E03S01000001,001,3214921026
DEPARTAMENTO DE POLICIA ANTIOQUIA,ABEJORRAL,ESTACION DE POLICIA ABEJORRAL,ESTACION DE POLICIA ABEJORRAL,DEANTMNVCCD06E01000000001,001,3137485217
DEPARTAMENTO DE POLICIA ANTIOQUIA,ABEJORRAL,ESTACION DE POLICIA ABEJORRAL,SUBESTACION DE POLICIA PANTANILLO,DEANTMNVCCD06E01S01000001,001,3206741973
DEPARTAMENTO DE POLICIA ANTIOQUIA,ABRIAQUI,ESTACION DE POLICIA ABRIAQUI,ESTACION DE POLICIA ABRIAQUI,DEANTMNVCCD11E01000000001,001,3128027954
DEPARTAMENTO DE POLICIA ANTIOQUIA,RIONEGRO,ESTACION DE POLICIA AEROPUERTO,ESTACION DE POLICIA AEROPUERTO,DEANTMNVCCD06E02000000001,001,3504017252
DEPARTAMENTO DE POLICIA ANTIOQUIA,ALEJANDRIA,ESTACION DE POLICIA ALEJANDRIA,ESTACION DE POLICIA ALEJANDRIA,DEANTMNVCCD06E10000000001,001,3146853945
DEPARTAMENTO DE POLICIA ANTIOQUIA,AMAGA,ESTACION DE POLICIA AMAGA,ESTACION DE POLICIA AMAGA,DEANTMNVCCD07E01000000001,001,3218966064
DEPARTAMENTO DE POLICIA ANTIOQUIA,AMAGA,ESTACION DE POLICIA AMAGA,SUBESTACION DE POLICIA MINAS,DEANTMNVCCD07E01S01000001,001,3182545926
DEPARTAMENTO DE POLICIA ANTIOQUIA,AMALFI,ESTACION DE POLICIA AMALFI,ESTACION DE POLICIA AMALFI,DEANTMNVCCD12E01000000001,001,3208645439
DEPARTAMENTO DE POLICIA ANTIOQUIA,ANDES,ESTACION DE POLICIA ANDES,ESTACION DE POLICIA ANDES,DEANTMNVCCD09E01000000001,001,3217390030
DEPARTAMENTO DE POLICIA ANTIOQUIA,ANDES,ESTACION DE POLICIA ANDES,ESTACION DE POLICIA ANDES,DEANTMNVCCD09E01000000002,002,3215871610
DEPARTAMENTO DE POLICIA ANTIOQUIA,ANDES,ESTACION DE POLICIA ANDES,ESTACION DE POLICIA ANDES,DEANTMNVCCD09E01000000003,003,3215885430
DEPARTAMENTO DE POLICIA ANTIOQUIA,ANDES,ESTACION DE POLICIA ANDES,SUBESTACION DE POLICIA TAPARTO,DEANTMNVCCD09E01S01000001,001,3122114853
DEPARTAMENTO DE POLICIA ANTIOQUIA,ANDES,ESTACION DE POLICIA ANDES,SUBESTACION DE POLICIA SANTA RITA DE ANDES,DEANTMNVCCD09E01S02000001,001,3147011171
DEPARTAMENTO DE POLICIA ANTIOQUIA,ANGELOPOLIS,ESTACION DE POLICIA ANGELOPOLIS,ESTACION DE POLICIA ANGELOPOLIS,DEANTMNVCCD07E02000000001,001,3135549752
DEPARTAMENTO DE POLICIA ANTIOQUIA,ANGOSTURA,ESTACION DE POLICIA ANGOSTURA,ESTACION DE POLICIA ANGOSTURA,DEANTMNVCCD01E01000000001,001,3147576922
DEPARTAMENTO DE POLICIA ANTIOQUIA,ANORI,ESTACION DE POLICIA ANORI,ESTACION DE POLICIA ANORI,DEANTMNVCCD12E02000000001,001,3205077681
DEPARTAMENTO DE POLICIA ANTIOQUIA,ANZA,ESTACION DE POLICIA ANZA,ESTACION DE POLICIA ANZA,DEANTMNVCCD10E01000000001,001,3137357893
DEPARTAMENTO DE POLICIA ANTIOQUIA,ANZA,ESTACION DE POLICIA ANZA,SUBESTACION DE POLICIA GUINTAR,DEANTMNVCCD10E01S01000001,001,3173703447
DEPARTAMENTO DE POLICIA ANTIOQUIA,ARGELIA,ESTACION DE POLICIA ARGELIA,ESTACION DE POLICIA ARGELIA,DEANTMNVCCD13E02000000001,001,3105158387
DEPARTAMENTO DE POLICIA ANTIOQUIA,ARMENIA,ESTACION DE POLICIA ARMENIA,ESTACION DE POLICIA ARMENIA,DEANTMNVCCD10E02000000001,001,3137278894
DEPARTAMENTO DE POLICIA ANTIOQUIA,BELMIRA,ESTACION DE POLICIA BELMIRA,ESTACION DE POLICIA BELMIRA,DEANTMNVCCD02E01000000001,001,3148965622
DEPARTAMENTO DE POLICIA ANTIOQUIA,BELMIRA,ESTACION DE POLICIA BELMIRA,SUBESTACION DE POLICIA LABORES,DEANTMNVCCD02E01S01000001,001,3002510220
DEPARTAMENTO DE POLICIA ANTIOQUIA,BETANIA,ESTACION DE POLICIA BETANIA,ESTACION DE POLICIA BETANIA,DEANTMNVCCD09E02000000001,001,3217765485
DEPARTAMENTO DE POLICIA ANTIOQUIA,BETULIA,ESTACION DE POLICIA BETULIA,ESTACION DE POLICIA BETULIA,DEANTMNVCCD09E03000000001,001,3126911836
DEPARTAMENTO DE POLICIA ANTIOQUIA,BETULIA,ESTACION DE POLICIA BETULIA,SUBESTACION DE POLICIA ALTAMIRA,DEANTMNVCCD09E03S01000001,001,3162694581
DEPARTAMENTO DE POLICIA ANTIOQUIA,BRICEÑO,ESTACION DE POLICIA BRICEÑO,ESTACION DE POLICIA BRICEÑO,DEANTMNVCCD01E02000000001,001,3504017261
DEPARTAMENTO DE POLICIA ANTIOQUIA,BURITICA,ESTACION DE POLICIA BURITICA,ESTACION DE POLICIA BURITICA,DEANTMNVCCD11E02000000001,001,3127950219
DEPARTAMENTO DE POLICIA ANTIOQUIA,CACERES,ESTACION DE POLICIA CACERES,ESTACION DE POLICIA CACERES,DEANTMNVCCD14E01000000001,001,3217736106
DEPARTAMENTO DE POLICIA ANTIOQUIA,CACERES,ESTACION DE POLICIA CACERES,SUBESTACION DE POLICIA JARDIN DE TAMANA,DEANTMNVCCD14E01S01000001,001,3143248632
DEPARTAMENTO DE POLICIA ANTIOQUIA,CAICEDO,ESTACION DE POLICIA CAICEDO,ESTACION DE POLICIA CAICEDO,DEANTMNVCCD10E04000000001,001,3218314749
DEPARTAMENTO DE POLICIA ANTIOQUIA,CAMPAMENTO,ESTACION DE POLICIA CAMPAMENTO,ESTACION DE POLICIA CAMPAMENTO,DEANTMNVCCD01E03000000001,001,3234694049
