FECHA HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,TIPO DELITO,CANTIDAD
01/01/1996,05,ANTIOQUIA,05042,SANTAFE DE ANTIOQUIA,SECUESTRO SIMPLE,1
01/01/1996,25,CUNDINAMARCA,25290,FUSAGASUGA,SECUESTRO EXTORSIVO,1
02/01/1996,05,ANTIOQUIA,05038,ANGOSTURA,SECUESTRO EXTORSIVO,1
02/01/1996,68,SANTANDER,68001,BUCARAMANGA,SECUESTRO EXTORSIVO,1
02/01/1996,05,ANTIOQUIA,05088,BELLO,SECUESTRO EXTORSIVO,1
02/01/1996,11,BOGOTA D.C.,11001,BOGOTA D.C.,SECUESTRO EXTORSIVO,1
03/01/1996,11,BOGOTA D.C.,11001,BOGOTA D.C.,SECUESTRO EXTORSIVO,1
04/01/1996,63,QUINDIO,63001,ARMENIA,SECUESTRO EXTORSIVO,1
04/01/1996,18,CAQUETA,18592,PUERTO RICO,SECUESTRO EXTORSIVO,1
04/01/1996,05,ANTIOQUIA,05042,SANTAFE DE ANTIOQUIA,SECUESTRO EXTORSIVO,1
05/01/1996,11,BOGOTA D.C.,11001,BOGOTA D.C.,SECUESTRO EXTORSIVO,1
05/01/1996,05,ANTIOQUIA,05088,BELLO,SECUESTRO EXTORSIVO,1
05/01/1996,25,CUNDINAMARCA,25377,LA CALERA,SECUESTRO EXTORSIVO,1
06/01/1996,05,ANTIOQUIA,05042,SANTAFE DE ANTIOQUIA,SECUESTRO EXTORSIVO,1
06/01/1996,05,ANTIOQUIA,05042,SANTAFE DE ANTIOQUIA,SECUESTRO EXTORSIVO,1
06/01/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO EXTORSIVO,1
07/01/1996,05,ANTIOQUIA,05761,SOPETRAN,SECUESTRO EXTORSIVO,1
08/01/1996,05,ANTIOQUIA,05045,APARTADO,SECUESTRO EXTORSIVO,1
08/01/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO EXTORSIVO,1
08/01/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO EXTORSIVO,1
08/01/1996,44,LA GUAJIRA,44874,VILLANUEVA,SECUESTRO EXTORSIVO,1
08/01/1996,44,LA GUAJIRA,44874,VILLANUEVA,SECUESTRO EXTORSIVO,1
08/01/1996,05,ANTIOQUIA,05042,SANTAFE DE ANTIOQUIA,SECUESTRO EXTORSIVO,1
08/01/1996,05,ANTIOQUIA,05042,SANTAFE DE ANTIOQUIA,SECUESTRO EXTORSIVO,1
08/01/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO EXTORSIVO,1
09/01/1996,81,ARAUCA,81591,PUERTO RONDON,SECUESTRO EXTORSIVO,1
09/01/1996,41,HUILA,41306,GIGANTE,SECUESTRO EXTORSIVO,1
10/01/1996,05,ANTIOQUIA,05045,APARTADO,SECUESTRO EXTORSIVO,1
10/01/1996,05,ANTIOQUIA,05045,APARTADO,SECUESTRO EXTORSIVO,1
10/01/1996,05,ANTIOQUIA,05042,SANTAFE DE ANTIOQUIA,SECUESTRO EXTORSIVO,1
10/01/1996,05,ANTIOQUIA,05042,SANTAFE DE ANTIOQUIA,SECUESTRO EXTORSIVO,1
10/01/1996,08,ATLANTICO,08001,BARRANQUILLA,SECUESTRO EXTORSIVO,1
11/01/1996,41,HUILA,41132,CAMPOALEGRE,SECUESTRO EXTORSIVO,1
11/01/1996,15,BOYACA,15572,PUERTO BOYACA,SECUESTRO EXTORSIVO,1
12/01/1996,20,CESAR,20175,CHIMICHAGUA,SECUESTRO EXTORSIVO,1
13/01/1996,11,BOGOTA D.C.,11001,BOGOTA D.C.,SECUESTRO EXTORSIVO,1
13/01/1996,54,NORTE DE SANTANDER,54001,CUCUTA,SECUESTRO EXTORSIVO,1
14/01/1996,20,CESAR,20517,PAILITAS,SECUESTRO EXTORSIVO,1
15/01/1996,18,CAQUETA,18001,FLORENCIA,SECUESTRO EXTORSIVO,1
16/01/1996,11,BOGOTA D.C.,11001,BOGOTA D.C.,SECUESTRO EXTORSIVO,1
16/01/1996,11,BOGOTA D.C.,11001,BOGOTA D.C.,SECUESTRO EXTORSIVO,1
16/01/1996,68,SANTANDER,68547,PIEDECUESTA,SECUESTRO EXTORSIVO,1
17/01/1996,41,HUILA,41020,ALGECIRAS,SECUESTRO EXTORSIVO,1
17/01/1996,20,CESAR,20614,RIO DE ORO,SECUESTRO EXTORSIVO,1
17/01/1996,54,NORTE DE SANTANDER,54498,OCAÑA,SECUESTRO EXTORSIVO,1
17/01/1996,47,MAGDALENA,47058,ARIGUANI,SECUESTRO EXTORSIVO,1
17/01/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO EXTORSIVO,1
17/01/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO EXTORSIVO,1
17/01/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO EXTORSIVO,1
17/01/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO EXTORSIVO,1
18/01/1996,11,BOGOTA D.C.,11001,BOGOTA D.C.,SECUESTRO EXTORSIVO,1
18/01/1996,05,ANTIOQUIA,05847,URRAO,SECUESTRO EXTORSIVO,1
18/01/1996,68,SANTANDER,68547,PIEDECUESTA,SECUESTRO EXTORSIVO,1
18/01/1996,54,NORTE DE SANTANDER,54498,OCAÑA,SECUESTRO EXTORSIVO,1
18/01/1996,70,SUCRE,70265,GUARANDA,SECUESTRO EXTORSIVO,1
19/01/1996,11,BOGOTA D.C.,11001,BOGOTA D.C.,SECUESTRO EXTORSIVO,1
19/01/1996,50,META,50124,CABUYARO,SECUESTRO EXTORSIVO,1
20/01/1996,85,CASANARE,85162,MONTERREY,SECUESTRO EXTORSIVO,1
20/01/1996,05,ANTIOQUIA,05642,SALGAR,SECUESTRO EXTORSIVO,1
21/01/1996,05,ANTIOQUIA,05664,SAN PEDRO,SECUESTRO EXTORSIVO,1
21/01/1996,20,CESAR,20710,SAN ALBERTO,SECUESTRO EXTORSIVO,1
21/01/1996,08,ATLANTICO,08638,SABANALARGA,SECUESTRO EXTORSIVO,1
21/01/1996,20,CESAR,20710,SAN ALBERTO,SECUESTRO EXTORSIVO,1
22/01/1996,70,SUCRE,70713,SAN ONOFRE,SECUESTRO EXTORSIVO,1
22/01/1996,08,ATLANTICO,08001,BARRANQUILLA,SECUESTRO EXTORSIVO,1
22/01/1996,20,CESAR,20400,LA JAGUA DE IBIRICO,SECUESTRO EXTORSIVO,1
22/01/1996,20,CESAR,20400,LA JAGUA DE IBIRICO,SECUESTRO EXTORSIVO,1
22/01/1996,05,ANTIOQUIA,05147,CAREPA,SECUESTRO EXTORSIVO,1
22/01/1996,20,CESAR,20400,LA JAGUA DE IBIRICO,SECUESTRO EXTORSIVO,1
23/01/1996,41,HUILA,41551,PITALITO,SECUESTRO EXTORSIVO,1
24/01/1996,54,NORTE DE SANTANDER,54660,SALAZAR,SECUESTRO EXTORSIVO,1
24/01/1996,85,CASANARE,85001,YOPAL,SECUESTRO EXTORSIVO,1
24/01/1996,05,ANTIOQUIA,05664,SAN PEDRO,SECUESTRO EXTORSIVO,1
24/01/1996,41,HUILA,41551,PITALITO,SECUESTRO EXTORSIVO,1
24/01/1996,19,CAUCA,19701,SANTA ROSA,SECUESTRO EXTORSIVO,1
24/01/1996,41,HUILA,41551,PITALITO,SECUESTRO EXTORSIVO,1
25/01/1996,47,MAGDALENA,47288,FUNDACION,SECUESTRO EXTORSIVO,1
25/01/1996,05,ANTIOQUIA,05856,VALPARAISO,SECUESTRO EXTORSIVO,1
25/01/1996,86,PUTUMAYO,86320,ORITO,SECUESTRO EXTORSIVO,1
26/01/1996,13,BOLIVAR,13654,SAN JACINTO,SECUESTRO EXTORSIVO,1
26/01/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO EXTORSIVO,1
26/01/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO EXTORSIVO,1
26/01/1996,25,CUNDINAMARCA,25377,LA CALERA,SECUESTRO EXTORSIVO,1
26/01/1996,08,ATLANTICO,08001,BARRANQUILLA,SECUESTRO EXTORSIVO,1
26/01/1996,18,CAQUETA,18256,EL PAUJIL,SECUESTRO EXTORSIVO,1
26/01/1996,13,BOLIVAR,13654,SAN JACINTO,SECUESTRO EXTORSIVO,1
27/01/1996,08,ATLANTICO,08001,BARRANQUILLA,SECUESTRO EXTORSIVO,1
